program,school,phd,year,count
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2010-11,1
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2011-12,0
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2012-13,0
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2013-14,6
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2014-15,0
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2015-16,5
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2016-17,0
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2017-18,4
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2018-19,5
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2019-20,5
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2020-21,2
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2021-22,2
Anthropology,WEINBERG ARTS AND SCIENCES,1,2010-11,4
Anthropology,WEINBERG ARTS AND SCIENCES,1,2011-12,3
Anthropology,WEINBERG ARTS AND SCIENCES,1,2012-13,7
Anthropology,WEINBERG ARTS AND SCIENCES,1,2013-14,8
Anthropology,WEINBERG ARTS AND SCIENCES,1,2014-15,5
Anthropology,WEINBERG ARTS AND SCIENCES,1,2015-16,7
Anthropology,WEINBERG ARTS AND SCIENCES,1,2016-17,6
Anthropology,WEINBERG ARTS AND SCIENCES,1,2017-18,4
Anthropology,WEINBERG ARTS AND SCIENCES,1,2018-19,9
Anthropology,WEINBERG ARTS AND SCIENCES,1,2019-20,6
Anthropology,WEINBERG ARTS AND SCIENCES,1,2020-21,7
Anthropology,WEINBERG ARTS AND SCIENCES,1,2021-22,3
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2010-11,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2011-12,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2012-13,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2013-14,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2014-15,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2015-16,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2016-17,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2017-18,12
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2018-19,11
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2019-20,2
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2020-21,6
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2021-22,8
Art History,WEINBERG ARTS AND SCIENCES,1,2010-11,2
Art History,WEINBERG ARTS AND SCIENCES,1,2011-12,2
Art History,WEINBERG ARTS AND SCIENCES,1,2012-13,6
Art History,WEINBERG ARTS AND SCIENCES,1,2013-14,2
Art History,WEINBERG ARTS AND SCIENCES,1,2014-15,2
Art History,WEINBERG ARTS AND SCIENCES,1,2015-16,2
Art History,WEINBERG ARTS AND SCIENCES,1,2016-17,8
Art History,WEINBERG ARTS AND SCIENCES,1,2017-18,2
Art History,WEINBERG ARTS AND SCIENCES,1,2018-19,5
Art History,WEINBERG ARTS AND SCIENCES,1,2019-20,3
Art History,WEINBERG ARTS AND SCIENCES,1,2020-21,1
Art History,WEINBERG ARTS AND SCIENCES,1,2021-22,2
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2010-11,24
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2011-12,11
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2012-13,14
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2013-14,13
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2014-15,13
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2015-16,13
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2016-17,18
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2017-18,13
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2018-19,19
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2019-20,23
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2020-21,14
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2021-22,17
Chemistry,WEINBERG ARTS AND SCIENCES,1,2010-11,44
Chemistry,WEINBERG ARTS AND SCIENCES,1,2011-12,37
Chemistry,WEINBERG ARTS AND SCIENCES,1,2012-13,46
Chemistry,WEINBERG ARTS AND SCIENCES,1,2013-14,44
Chemistry,WEINBERG ARTS AND SCIENCES,1,2014-15,39
Chemistry,WEINBERG ARTS AND SCIENCES,1,2015-16,47
Chemistry,WEINBERG ARTS AND SCIENCES,1,2016-17,34
Chemistry,WEINBERG ARTS AND SCIENCES,1,2017-18,34
Chemistry,WEINBERG ARTS AND SCIENCES,1,2018-19,46
Chemistry,WEINBERG ARTS AND SCIENCES,1,2019-20,38
Chemistry,WEINBERG ARTS AND SCIENCES,1,2020-21,43
Chemistry,WEINBERG ARTS AND SCIENCES,1,2021-22,56
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2010-11,2
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2011-12,2
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2012-13,2
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2013-14,3
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2014-15,5
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2015-16,3
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2016-17,2
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2017-18,6
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2018-19,6
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2019-20,3
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2020-21,2
Comparative Literature,WEINBERG ARTS AND SCIENCES,1,2021-22,0
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2010-11,2
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2011-12,1
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2012-13,2
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2013-14,4
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2014-15,4
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2015-16,4
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2016-17,3
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2017-18,3
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2018-19,5
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2019-20,3
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2020-21,5
Earth and Planetary Sciences,WEINBERG ARTS AND SCIENCES,1,2021-22,6
Economics,WEINBERG ARTS AND SCIENCES,1,2010-11,15
Economics,WEINBERG ARTS AND SCIENCES,1,2011-12,25
Economics,WEINBERG ARTS AND SCIENCES,1,2012-13,18
Economics,WEINBERG ARTS AND SCIENCES,1,2013-14,18
Economics,WEINBERG ARTS AND SCIENCES,1,2014-15,16
Economics,WEINBERG ARTS AND SCIENCES,1,2015-16,21
Economics,WEINBERG ARTS AND SCIENCES,1,2016-17,11
Economics,WEINBERG ARTS AND SCIENCES,1,2017-18,20
Economics,WEINBERG ARTS AND SCIENCES,1,2018-19,25
Economics,WEINBERG ARTS AND SCIENCES,1,2019-20,20
Economics,WEINBERG ARTS AND SCIENCES,1,2020-21,19
Economics,WEINBERG ARTS AND SCIENCES,1,2021-22,16
English,WEINBERG ARTS AND SCIENCES,1,2010-11,4
English,WEINBERG ARTS AND SCIENCES,1,2011-12,2
English,WEINBERG ARTS AND SCIENCES,1,2012-13,9
English,WEINBERG ARTS AND SCIENCES,1,2013-14,6
English,WEINBERG ARTS AND SCIENCES,1,2014-15,2
English,WEINBERG ARTS AND SCIENCES,1,2015-16,5
English,WEINBERG ARTS AND SCIENCES,1,2016-17,5
English,WEINBERG ARTS AND SCIENCES,1,2017-18,11
English,WEINBERG ARTS AND SCIENCES,1,2018-19,6
English,WEINBERG ARTS AND SCIENCES,1,2019-20,11
English,WEINBERG ARTS AND SCIENCES,1,2020-21,6
English,WEINBERG ARTS AND SCIENCES,1,2021-22,8
French and Italian,WEINBERG ARTS AND SCIENCES,1,2010-11,1
French and Italian,WEINBERG ARTS AND SCIENCES,1,2011-12,1
French and Italian,WEINBERG ARTS AND SCIENCES,1,2012-13,1
French and Italian,WEINBERG ARTS AND SCIENCES,1,2013-14,2
French and Italian,WEINBERG ARTS AND SCIENCES,1,2014-15,2
French and Italian,WEINBERG ARTS AND SCIENCES,1,2015-16,1
French and Italian,WEINBERG ARTS AND SCIENCES,1,2016-17,3
French and Italian,WEINBERG ARTS AND SCIENCES,1,2017-18,2
French and Italian,WEINBERG ARTS AND SCIENCES,1,2018-19,2
French and Italian,WEINBERG ARTS AND SCIENCES,1,2019-20,1
French and Italian,WEINBERG ARTS AND SCIENCES,1,2020-21,0
French and Italian,WEINBERG ARTS AND SCIENCES,1,2021-22,0
German,WEINBERG ARTS AND SCIENCES,1,2010-11,0
German,WEINBERG ARTS AND SCIENCES,1,2011-12,0
German,WEINBERG ARTS AND SCIENCES,1,2012-13,0
German,WEINBERG ARTS AND SCIENCES,1,2013-14,1
German,WEINBERG ARTS AND SCIENCES,1,2014-15,1
German,WEINBERG ARTS AND SCIENCES,1,2015-16,1
German,WEINBERG ARTS AND SCIENCES,1,2016-17,1
German,WEINBERG ARTS AND SCIENCES,1,2017-18,0
German,WEINBERG ARTS AND SCIENCES,1,2018-19,1
German,WEINBERG ARTS AND SCIENCES,1,2019-20,1
German,WEINBERG ARTS AND SCIENCES,1,2020-21,2
German,WEINBERG ARTS AND SCIENCES,1,2021-22,0
History,WEINBERG ARTS AND SCIENCES,1,2010-11,12
History,WEINBERG ARTS AND SCIENCES,1,2011-12,10
History,WEINBERG ARTS AND SCIENCES,1,2012-13,6
History,WEINBERG ARTS AND SCIENCES,1,2013-14,8
History,WEINBERG ARTS AND SCIENCES,1,2014-15,10
History,WEINBERG ARTS AND SCIENCES,1,2015-16,15
History,WEINBERG ARTS AND SCIENCES,1,2016-17,9
History,WEINBERG ARTS AND SCIENCES,1,2017-18,13
History,WEINBERG ARTS AND SCIENCES,1,2018-19,16
History,WEINBERG ARTS AND SCIENCES,1,2019-20,5
History,WEINBERG ARTS AND SCIENCES,1,2020-21,10
History,WEINBERG ARTS AND SCIENCES,1,2021-22,9
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2010-11,0
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2011-12,0
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2012-13,0
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2013-14,0
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2014-15,0
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2015-16,0
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2016-17,0
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2017-18,0
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2018-19,0
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2019-20,0
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2020-21,0
Intercultural and International Studies,WEINBERG ARTS AND SCIENCES,1,2021-22,0
Linguistics,WEINBERG ARTS AND SCIENCES,1,2010-11,5
Linguistics,WEINBERG ARTS AND SCIENCES,1,2011-12,2
Linguistics,WEINBERG ARTS AND SCIENCES,1,2012-13,2
Linguistics,WEINBERG ARTS AND SCIENCES,1,2013-14,0
Linguistics,WEINBERG ARTS AND SCIENCES,1,2014-15,4
Linguistics,WEINBERG ARTS AND SCIENCES,1,2015-16,5
Linguistics,WEINBERG ARTS AND SCIENCES,1,2016-17,2
Linguistics,WEINBERG ARTS AND SCIENCES,1,2017-18,3
Linguistics,WEINBERG ARTS AND SCIENCES,1,2018-19,1
Linguistics,WEINBERG ARTS AND SCIENCES,1,2019-20,3
Linguistics,WEINBERG ARTS AND SCIENCES,1,2020-21,3
Linguistics,WEINBERG ARTS AND SCIENCES,1,2021-22,1
Mathematics,WEINBERG ARTS AND SCIENCES,1,2010-11,2
Mathematics,WEINBERG ARTS AND SCIENCES,1,2011-12,12
Mathematics,WEINBERG ARTS AND SCIENCES,1,2012-13,8
Mathematics,WEINBERG ARTS AND SCIENCES,1,2013-14,7
Mathematics,WEINBERG ARTS AND SCIENCES,1,2014-15,4
Mathematics,WEINBERG ARTS AND SCIENCES,1,2015-16,11
Mathematics,WEINBERG ARTS AND SCIENCES,1,2016-17,12
Mathematics,WEINBERG ARTS AND SCIENCES,1,2017-18,9
Mathematics,WEINBERG ARTS AND SCIENCES,1,2018-19,8
Mathematics,WEINBERG ARTS AND SCIENCES,1,2019-20,3
Mathematics,WEINBERG ARTS AND SCIENCES,1,2020-21,12
Mathematics,WEINBERG ARTS AND SCIENCES,1,2021-22,10
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2010-11,27
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2011-12,20
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2012-13,27
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2013-14,21
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2014-15,18
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2015-16,22
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2016-17,17
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2017-18,15
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2018-19,18
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2019-20,23
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2020-21,17
Neuroscience,WEINBERG ARTS AND SCIENCES,1,2021-22,17
Philosophy,WEINBERG ARTS AND SCIENCES,1,2010-11,5
Philosophy,WEINBERG ARTS AND SCIENCES,1,2011-12,2
Philosophy,WEINBERG ARTS AND SCIENCES,1,2012-13,6
Philosophy,WEINBERG ARTS AND SCIENCES,1,2013-14,1
Philosophy,WEINBERG ARTS AND SCIENCES,1,2014-15,6
Philosophy,WEINBERG ARTS AND SCIENCES,1,2015-16,2
Philosophy,WEINBERG ARTS AND SCIENCES,1,2016-17,6
Philosophy,WEINBERG ARTS AND SCIENCES,1,2017-18,2
Philosophy,WEINBERG ARTS AND SCIENCES,1,2018-19,4
Philosophy,WEINBERG ARTS AND SCIENCES,1,2019-20,3
Philosophy,WEINBERG ARTS AND SCIENCES,1,2020-21,4
Philosophy,WEINBERG ARTS AND SCIENCES,1,2021-22,6
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2010-11,7
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2011-12,13
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2012-13,10
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2013-14,16
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2014-15,12
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2015-16,10
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2016-17,15
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2017-18,11
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2018-19,14
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2019-20,12
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2020-21,11
Physics and Astronomy,WEINBERG ARTS AND SCIENCES,1,2021-22,11
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2010-11,0
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2011-12,0
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2012-13,0
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2013-14,0
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2014-15,1
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2015-16,1
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2016-17,1
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2017-18,5
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2018-19,0
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2019-20,1
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2020-21,2
Plant Biology and Conservation,WEINBERG ARTS AND SCIENCES,1,2021-22,0
Political Science,WEINBERG ARTS AND SCIENCES,1,2010-11,8
Political Science,WEINBERG ARTS AND SCIENCES,1,2011-12,5
Political Science,WEINBERG ARTS AND SCIENCES,1,2012-13,19
Political Science,WEINBERG ARTS AND SCIENCES,1,2013-14,14
Political Science,WEINBERG ARTS AND SCIENCES,1,2014-15,15
Political Science,WEINBERG ARTS AND SCIENCES,1,2015-16,11
Political Science,WEINBERG ARTS AND SCIENCES,1,2016-17,11
Political Science,WEINBERG ARTS AND SCIENCES,1,2017-18,11
Political Science,WEINBERG ARTS AND SCIENCES,1,2018-19,10
Political Science,WEINBERG ARTS AND SCIENCES,1,2019-20,15
Political Science,WEINBERG ARTS AND SCIENCES,1,2020-21,11
Political Science,WEINBERG ARTS AND SCIENCES,1,2021-22,10
Psychology,WEINBERG ARTS AND SCIENCES,1,2010-11,9
Psychology,WEINBERG ARTS AND SCIENCES,1,2011-12,11
Psychology,WEINBERG ARTS AND SCIENCES,1,2012-13,9
Psychology,WEINBERG ARTS AND SCIENCES,1,2013-14,18
Psychology,WEINBERG ARTS AND SCIENCES,1,2014-15,12
Psychology,WEINBERG ARTS AND SCIENCES,1,2015-16,13
Psychology,WEINBERG ARTS AND SCIENCES,1,2016-17,9
Psychology,WEINBERG ARTS AND SCIENCES,1,2017-18,15
Psychology,WEINBERG ARTS AND SCIENCES,1,2018-19,9
Psychology,WEINBERG ARTS AND SCIENCES,1,2019-20,12
Psychology,WEINBERG ARTS AND SCIENCES,1,2020-21,8
Psychology,WEINBERG ARTS AND SCIENCES,1,2021-22,12
Religion,WEINBERG ARTS AND SCIENCES,1,2010-11,1
Religion,WEINBERG ARTS AND SCIENCES,1,2011-12,2
Religion,WEINBERG ARTS AND SCIENCES,1,2012-13,2
Religion,WEINBERG ARTS AND SCIENCES,1,2013-14,5
Religion,WEINBERG ARTS AND SCIENCES,1,2014-15,3
Religion,WEINBERG ARTS AND SCIENCES,1,2015-16,7
Religion,WEINBERG ARTS AND SCIENCES,1,2016-17,3
Religion,WEINBERG ARTS AND SCIENCES,1,2017-18,0
Religion,WEINBERG ARTS AND SCIENCES,1,2018-19,0
Religion,WEINBERG ARTS AND SCIENCES,1,2019-20,0
Religion,WEINBERG ARTS AND SCIENCES,1,2020-21,0
Religion,WEINBERG ARTS AND SCIENCES,1,2021-22,0
Slavic Languages,WEINBERG ARTS AND SCIENCES,1,2010-11,3
Slavic Languages,WEINBERG ARTS AND SCIENCES,1,2011-12,1
Slavic Languages,WEINBERG ARTS AND SCIENCES,1,2012-13,2
Slavic Languages,WEINBERG ARTS AND SCIENCES,1,2013-14,1
Slavic Languages,WEINBERG ARTS AND SCIENCES,1,2014-15,1
Slavic Languages,WEINBERG ARTS AND SCIENCES,1,2015-16,1
Slavic Languages,WEINBERG ARTS AND SCIENCES,1,2016-17,3
Slavic Languages,WEINBERG ARTS AND SCIENCES,1,2017-18,1
Slavic Languages,WEINBERG ARTS AND SCIENCES,1,2018-19,1
Slavic Languages,WEINBERG ARTS AND SCIENCES,1,2019-20,0
Slavic Languages,WEINBERG ARTS AND SCIENCES,1,2020-21,2
